Country,State,Year,Crop Name,Additional Info,"Area (UOM:Ha(Hectare)), Scaling Factor:1000","Area Percentage To All India (%) (UOM:%(Percentage)), Scaling Factor:1",Production ,"Production Percentage To All India (%) (UOM:%(Percentage)), Scaling Factor:1","Yield (UOM:Kg/Ha(KilogramperHectare)), Scaling Factor:1"
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.03,0.35,0.05,0.51,2097
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Cotton,,0.42,3.33,0.74,2.27,297
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Gram,,0.3,3.15,0.3,2.72,994
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Groundnut,,0.31,6.62,0.32,3.18,1038
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.1,2.53,0.33,6.94,3191
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0,0.1,0.01,0.08,2151
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Maize,,0.29,2.6,1.82,4.83,6225
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Rice,,1.92,4.02,7.34,5.33,3822
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0,2.84,0,2.2,886
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Tobacco,,84,20.47,200.17,23.13,2383
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,0.94,3.42,0.82,3.39,874
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.23,5.64,0.1,2.82,413
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.01,0.07,0.01,0.1,1364
India,Assam,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0.06,9.34,0.67,6.95,2037
India,Assam,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.03,1.54,0.02,1.26,845
India,Assam,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.32,3.48,0.25,1.89,786
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,6.83,5.17,21.2,6.38,3106
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0.07,10.46,0.99,10.17,2661
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.14,8.03,0.11,6.35,813
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Maize,,0.96,8.5,5.71,15.16,5975
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,0.97,3.9,5.73,10.07,5896
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.1,1.06,0.12,0.92,1263
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Rice,,3.11,6.5,7.9,5.73,2541
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.2,3.52,12.08,2.67,59777
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.01,4.13,0.01,5.06,1401
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Tobacco,,10.67,2.6,18.73,2.16,1756
India,Bihar,"Agriculture Year (Jul - Jun), 2023",Wheat,,2.28,7.15,7.17,6.33,3150
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Gram,,0.25,2.66,0.21,1.91,828
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Jute & Mesta,,0,0.04,0,0.01,395
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.01,0.76,0.01,0.31,413
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Rice,,3.82,7.99,9.7,7.04,2539
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.03,0.2,0.03,0.19,949
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.52,7.05,1.31,12.18,2511
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Cotton,,2.68,21.15,9.06,27.85,574
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Gram,,0.62,6.49,1.07,9.66,1714
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Groundnut,,1.7,36.02,4.64,45.62,2739
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.04,1.05,0.07,1.4,1550
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,3.14,10.39,7.28,18.35,2319
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Nutri/Coarse Cereals,,0.99,3.97,2.32,4.07,2342
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.28,3.02,0.53,3.97,1896
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.2,3.52,14.48,3.2,71621
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Tobacco,,189.4,46.16,420.09,48.53,2218
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Total Pulses,,1.13,4.09,1.55,6.38,1375
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Tur (Arhar),,0.23,5.5,0.26,7.74,1163
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Wheat,,1.25,3.92,3.77,3.33,3027
India,Gujarat,"Agriculture Year (Jul - Jun), 2023",Soybean,,0.27,2,0.37,2.82,1386
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Foodgrains,,4.54,3.44,18.44,5.55,4058
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Bajra,,0.53,7.16,1.16,10.83,2200
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Cotton,,0.58,4.55,1.51,4.64,444
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Jowar,,0.02,0.47,0.01,0.21,527
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Nine Oilseeds,,0.76,2.52,1.38,3.48,1811
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.74,8.06,1.34,10.14,1816
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Sugarcane,,0.09,1.54,7.37,1.63,83582
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Sunflower,,0.01,9.78,0.03,16.61,1942
India,Haryana,"Agriculture Year (Jul - Jun), 2023",Wheat,,2.37,7.44,11.19,9.88,4723
India,Himachal Pradesh,"Agriculture Year (Jul - Jun), 2023",Wheat,,0.32,1,0.79,0.69,2480
India,Jharkhand,"Agriculture Year (Jul - Jun), 2023",Gram,,0.24,2.49,0.28,2.52,1167
India,Jharkhand,"Agriculture Year (Jul - Jun), 2023",Lentil (Masur),,0.06,3.3,0.05,2.94,917
India,Jharkhand,"Agriculture Year (Jul - Jun), 2023",Rapeseed & Mustard,,0.41,4.51,0.33,2.5,801
